pg_id,name,city,locality,rent_monthly,sharing_type,ac,wifi,food_included,food_type,description
PG006310,Nova Girls Hostel,Chennai,Velachery,16500,Single,Yes,Yes,No,None,"Nova Girls Hostel is a single-sharing PG located in Velachery, Chennai, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Aspernatur quia quis dolorum dolorum voluptatibus nobis. Ideal for boys looking for a premium stay near Velachery."
PG006311,Royal PG for Students,Pune,Kothrud,7600,Triple,No,Yes,No,None,"Royal PG for Students is a triple-sharing PG located in Kothrud, Pune, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Occaecati qui praesentium soluta iure fuga incidunt illum necessitatibus aspernatur eos molestias exercitationem ea aspernatur. Ideal for boys looking for a budget-friendly stay near Kothrud."
PG006312,Zenith Homestay PG,Delhi,Karol Bagh,12100,Triple,No,Yes,No,None,"Zenith Homestay PG is a triple-sharing PG located in Karol Bagh, Delhi, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Autem aspernatur delectus soluta totam recusandae suscipit autem molestias harum vitae accusamus natus. Ideal for students looking for a premium stay near Karol Bagh."
PG006313,Silver Oak Boys Hostel,Hyderabad,Gachibowli,10100,Triple,No,Yes,Yes,Veg,"Silver Oak Boys Hostel is a triple-sharing PG located in Gachibowli, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Illum saepe possimus officia deserunt debitis rem. Ideal for working professionals looking for a premium stay near Gachibowli."
PG006314,Blue Bell Co-living Space,Bangalore,BTM Layout,9800,Dorm,Yes,Yes,No,None,"Blue Bell Co-living Space is a dorm-sharing PG located in BTM Layout, Bangalore, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Nam maxime velit in fugiat maxime eum quia aspernatur quas sed eligendi tempora quae aspernatur consequatur. Ideal for students looking for a premium stay near BTM Layout."
PG006315,Golden Nest Girls Hostel,Bangalore,Indiranagar,24300,Single,Yes,Yes,No,None,"Golden Nest Girls Hostel is a single-sharing PG located in Indiranagar, Bangalore, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Dignissimos quis alias aliquam inventore omnis voluptas officia corrupti dolorem. Ideal for girls looking for a premium stay near Indiranagar."
PG006316,Metro Homestay PG,Ahmedabad,Satellite,10400,Double,No,Yes,Yes,None,"Metro Homestay PG is a double-sharing PG located in Satellite, Ahmedabad, offering naturally ventilated rooms, high-speed WiFi, and none meals included. Ab reiciendis harum esse minus mollitia velit. Ideal for co-living looking for a premium stay near Satellite."
PG006317,Zenith Nest,Hyderabad,Kukatpally,12700,Double,No,Yes,Yes,Veg,"Zenith Nest is a double-sharing PG located in Kukatpally, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Et officiis in sit tempora perspiciatis quidem placeat odio eaque quis aliquam. Ideal for co-living looking for a premium stay near Kukatpally."
PG006318,Silver Oak Residency,Gurgaon,Cyber Hub Area,19200,Double,Yes,Yes,Yes,Veg,"Silver Oak Residency is a double-sharing PG located in Cyber Hub Area, Gurgaon, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Mollitia numquam velit consectetur cupiditate ad quia accusamus provident placeat dolor voluptas repellendus dicta voluptatibus. Ideal for co-living looking for a premium stay near Cyber Hub Area."
PG006319,Comfort Residency,Hyderabad,Ameerpet,21000,Single,Yes,Yes,Yes,None,"Comfort Residency is a single-sharing PG located in Ameerpet, Hyderabad, offering air-conditioned rooms, high-speed WiFi, and none meals included. Impedit odio illo fugit quo debitis nihil unde mollitia voluptatem cum officiis. Ideal for boys looking for a premium stay near Ameerpet."
PG006320,Sai PG for Girls,Mumbai,Thane,13600,Double,No,Yes,No,None,"Sai PG for Girls is a double-sharing PG located in Thane, Mumbai, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Ab officia enim vitae recusandae tempora ipsum beatae in corporis nobis totam. Ideal for co-living looking for a premium stay near Thane."
PG006321,Silver Oak Nest,Gurgaon,Sector 14,11900,Triple,No,Yes,Yes,Non-Veg,"Silver Oak Nest is a triple-sharing PG located in Sector 14, Gurgaon, offering naturally ventilated rooms, high-speed WiFi, and non-veg meals included. Suscipit magnam reiciendis quo suscipit esse veritatis asperiores voluptatibus facere sed velit nihil suscipit enim fugit. Ideal for working professionals looking for a premium stay near Sector 14."
PG006322,Golden Nest Girls Hostel,Delhi,Saket,11000,Dorm,No,Yes,Yes,Veg,"Golden Nest Girls Hostel is a dorm-sharing PG located in Saket, Delhi, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Accusantium delectus sapiente dolore perferendis non qui veniam excepturi dolor maxime magnam. Ideal for working professionals looking for a premium stay near Saket."
PG006323,Elite Co-living Space,Delhi,Karol Bagh,23600,Single,Yes,Yes,No,None,"Elite Co-living Space is a single-sharing PG located in Karol Bagh, Delhi, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Ea repellendus neque voluptates repellendus ab rerum ut sint. Ideal for boys looking for a premium stay near Karol Bagh."
PG006324,Sunrise Residency,Pune,Viman Nagar,13500,Triple,Yes,Yes,Yes,None,"Sunrise Residency is a triple-sharing PG located in Viman Nagar, Pune, offering air-conditioned rooms, high-speed WiFi, and none meals included. Culpa aspernatur nam error possimus rerum cum perferendis veritatis iusto sunt. Ideal for working professionals looking for a premium stay near Viman Nagar."
PG006325,Comfort Residency,Mumbai,Thane,14900,Triple,Yes,Yes,No,None,"Comfort Residency is a triple-sharing PG located in Thane, Mumbai, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Iure sed recusandae deleniti recusandae sequi ab animi pariatur iure enim occaecati aliquid quasi. Ideal for girls looking for a premium stay near Thane."
PG006326,Skyline Co-living Space,Bangalore,Marathahalli,15700,Double,No,Yes,Yes,Both,"Skyline Co-living Space is a double-sharing PG located in Marathahalli, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Temporibus deleniti optio neque occaecati molestiae animi tempora illum eos repellendus non. Ideal for students looking for a premium stay near Marathahalli."
PG006327,Skyline PG for Students,Ahmedabad,Maninagar,13500,Single,No,Yes,Yes,Veg,"Skyline PG for Students is a single-sharing PG located in Maninagar, Ahmedabad, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Consequatur autem est nihil voluptatibus laboriosam delectus officiis adipisci asperiores. Ideal for co-living looking for a premium stay near Maninagar."
PG006328,Green Leaf Girls Hostel,Pune,Hinjewadi,11600,Dorm,Yes,Yes,No,None,"Green Leaf Girls Hostel is a dorm-sharing PG located in Hinjewadi, Pune, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Nulla qui repellat sit repellendus magnam saepe ex iste tempora aliquid illo illum eum eaque. Ideal for girls looking for a premium stay near Hinjewadi."
PG006329,Maple PG for Boys,Delhi,Rohini,15000,Triple,Yes,Yes,Yes,Veg,"Maple PG for Boys is a triple-sharing PG located in Rohini, Delhi, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Voluptatibus voluptatem adipisci eligendi mollitia incidunt porro dignissimos ducimus suscipit ullam ab numquam distinctio expedita. Ideal for co-living looking for a premium stay near Rohini."
PG006330,Skyline Girls Hostel,Mumbai,Chembur,13400,Dorm,Yes,Yes,Yes,Both,"Skyline Girls Hostel is a dorm-sharing PG located in Chembur, Mumbai, offering air-conditioned rooms, high-speed WiFi, and both meals included. Iusto libero nobis delectus magnam sed harum voluptatum veritatis quisquam voluptas molestiae earum. Ideal for boys looking for a premium stay near Chembur."
PG006331,Urban Girls Hostel,Mumbai,Powai,16600,Double,No,Yes,Yes,Both,"Urban Girls Hostel is a double-sharing PG located in Powai, Mumbai, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Consectetur dolorem doloremque accusantium cumque mollitia inventore ad nam libero et. Ideal for working professionals looking for a premium stay near Powai."
PG006332,Zenith Boys Hostel,Hyderabad,Kukatpally,11100,Double,No,Yes,Yes,Both,"Zenith Boys Hostel is a double-sharing PG located in Kukatpally, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Minus laborum vel nisi earum rem illum doloribus earum magnam fuga dolorem iusto quos. Ideal for girls looking for a premium stay near Kukatpally."
PG006333,Nova Co-living Space,Delhi,Mukherjee Nagar,16100,Double,Yes,Yes,Yes,Veg,"Nova Co-living Space is a double-sharing PG located in Mukherjee Nagar, Delhi, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Culpa aliquid incidunt illum culpa dolorem quaerat officiis eum culpa natus aliquid amet. Ideal for co-living looking for a premium stay near Mukherjee Nagar."
PG006334,Sunrise Nest,Delhi,Karol Bagh,9100,Dorm,No,Yes,Yes,Veg,"Sunrise Nest is a dorm-sharing PG located in Karol Bagh, Delhi, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Tempora provident neque repellat veniam hic inventore libero. Ideal for boys looking for a premium stay near Karol Bagh."
PG006335,Silver Oak Homestay PG,Bangalore,Whitefield,18300,Double,Yes,Yes,Yes,Both,"Silver Oak Homestay PG is a double-sharing PG located in Whitefield, Bangalore, offering air-conditioned rooms, high-speed WiFi, and both meals included. Eum perferendis dicta accusantium quibusdam suscipit facilis consequuntur reiciendis. Ideal for co-living looking for a premium stay near Whitefield."
PG006336,Comfort PG for Working Professionals,Chennai,Velachery,16600,Single,No,Yes,Yes,Veg,"Comfort PG for Working Professionals is a single-sharing PG located in Velachery, Chennai, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Itaque officia fugit sapiente aliquid alias rem tempore repellat cumque dignissimos quibusdam atque iure quisquam quidem. Ideal for co-living looking for a premium stay near Velachery."
PG006337,Star View Nest,Bangalore,BTM Layout,17400,Double,No,Yes,Yes,Veg,"Star View Nest is a double-sharing PG located in BTM Layout, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Voluptate voluptas est excepturi nulla consequuntur fuga consectetur. Ideal for girls looking for a premium stay near BTM Layout."
PG006338,Star View Homestay PG,Bangalore,BTM Layout,13300,Double,No,Yes,No,None,"Star View Homestay PG is a double-sharing PG located in BTM Layout, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Veritatis aliquid repudiandae assumenda nobis unde aperiam enim sunt incidunt ratione. Ideal for girls looking for a premium stay near BTM Layout."
PG006339,Urban Nest,Delhi,Mukherjee Nagar,14300,Double,No,Yes,Yes,Non-Veg,"Urban Nest is a double-sharing PG located in Mukherjee Nagar, Delhi, offering naturally ventilated rooms, high-speed WiFi, and non-veg meals included. Itaque neque ducimus iste voluptatum enim nisi pariatur unde suscipit sit aliquam aut. Ideal for co-living looking for a premium stay near Mukherjee Nagar."
PG006340,Sai Residency,Bangalore,Whitefield,11400,Triple,No,Yes,No,None,"Sai Residency is a triple-sharing PG located in Whitefield, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Laboriosam doloremque neque optio vel cupiditate non aut inventore. Ideal for working professionals looking for a premium stay near Whitefield."
PG006341,Sai Residency,Bangalore,Whitefield,14200,Double,No,No,Yes,Both,"Sai Residency is a double-sharing PG located in Whitefield, Bangalore, offering naturally ventilated rooms, no in-room WiFi, and both meals included. Quae voluptate assumenda adipisci id sapiente quis eius nobis ullam quae animi nam nihil. Ideal for students looking for a premium stay near Whitefield."
PG006342,Sai Homestay PG,Hyderabad,Kukatpally,13000,Double,No,Yes,Yes,Veg,"Sai Homestay PG is a double-sharing PG located in Kukatpally, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Vero molestiae quae minima reiciendis perferendis iusto maiores tempore nemo odit adipisci ad exercitationem. Ideal for working professionals looking for a premium stay near Kukatpally."
PG006343,Nova Nest,Hyderabad,Kondapur,21000,Single,No,Yes,Yes,Both,"Nova Nest is a single-sharing PG located in Kondapur, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Nesciunt totam rem perferendis aut suscipit impedit veritatis at. Ideal for girls looking for a premium stay near Kondapur."
PG006344,Skyline PG for Co-living,Noida,Sector 137,15600,Double,Yes,Yes,Yes,Non-Veg,"Skyline PG for Co-living is a double-sharing PG located in Sector 137, Noida, offering air-conditioned rooms, high-speed WiFi, and non-veg meals included. Doloribus vel aliquam magnam vitae sed atque provident. Ideal for students looking for a premium stay near Sector 137."
PG006345,Urban Nest,Pune,Baner,23500,Single,Yes,Yes,Yes,Both,"Urban Nest is a single-sharing PG located in Baner, Pune, offering air-conditioned rooms, high-speed WiFi, and both meals included. Sed expedita cumque laudantium ducimus quae corporis quasi aperiam fuga. Ideal for working professionals looking for a premium stay near Baner."
PG006346,Comfort Residency,Mumbai,Chembur,19200,Double,No,Yes,Yes,Non-Veg,"Comfort Residency is a double-sharing PG located in Chembur, Mumbai, offering naturally ventilated rooms, high-speed WiFi, and non-veg meals included. Perferendis praesentium dignissimos quis perspiciatis ipsum perferendis molestias similique quasi. Ideal for co-living looking for a premium stay near Chembur."
PG006347,Nova Girls Hostel,Bangalore,Indiranagar,12200,Triple,No,Yes,Yes,Veg,"Nova Girls Hostel is a triple-sharing PG located in Indiranagar, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Expedita quidem labore ipsam quaerat maxime magni molestias. Ideal for co-living looking for a premium stay near Indiranagar."
PG006348,Maple Homestay PG,Indore,Rau,6400,Double,No,Yes,No,None,"Maple Homestay PG is a double-sharing PG located in Rau, Indore, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Illum excepturi quasi nemo ipsum quibusdam dolorum esse harum officiis possimus maiores atque laudantium. Ideal for working professionals looking for a budget-friendly stay near Rau."
PG006349,Maple PG for Students,Gurgaon,Sushant Lok,21900,Single,No,No,Yes,Both,"Maple PG for Students is a single-sharing PG located in Sushant Lok, Gurgaon, offering naturally ventilated rooms, no in-room WiFi, and both meals included. Animi perspiciatis culpa dignissimos modi ea ut molestiae. Ideal for co-living looking for a premium stay near Sushant Lok."
PG006350,Maple Nest,Hyderabad,Kukatpally,11800,Double,No,Yes,No,None,"Maple Nest is a double-sharing PG located in Kukatpally, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Iste iusto itaque nemo minima illo dolorum laborum molestiae quidem nam. Ideal for co-living looking for a premium stay near Kukatpally."
PG006351,Metro Boys Hostel,Mumbai,Powai,19000,Double,No,Yes,Yes,Both,"Metro Boys Hostel is a double-sharing PG located in Powai, Mumbai, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Hic molestias at illum expedita expedita sit dolore cum odio iusto. Ideal for students looking for a premium stay near Powai."
PG006352,Shanti PG for Students,Delhi,Karol Bagh,16400,Double,No,Yes,Yes,Veg,"Shanti PG for Students is a double-sharing PG located in Karol Bagh, Delhi, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Ex saepe recusandae repudiandae assumenda non a saepe. Ideal for boys looking for a premium stay near Karol Bagh."
PG006353,Elite Residency,Mumbai,Kurla,12400,Triple,No,Yes,Yes,None,"Elite Residency is a triple-sharing PG located in Kurla, Mumbai, offering naturally ventilated rooms, high-speed WiFi, and none meals included. Odit qui consequuntur repudiandae autem eveniet blanditiis harum nobis tempore enim assumenda cum. Ideal for girls looking for a premium stay near Kurla."
PG006354,Golden Nest Nest,Gurgaon,DLF Phase 3,16300,Triple,Yes,Yes,Yes,Non-Veg,"Golden Nest Nest is a triple-sharing PG located in DLF Phase 3, Gurgaon, offering air-conditioned rooms, high-speed WiFi, and non-veg meals included. Excepturi maxime voluptatum deserunt a velit tenetur maxime assumenda libero voluptates rem quos sed praesentium. Ideal for co-living looking for a premium stay near DLF Phase 3."
PG006355,Skyline Boys Hostel,Ahmedabad,Maninagar,8500,Triple,No,Yes,Yes,Both,"Skyline Boys Hostel is a triple-sharing PG located in Maninagar, Ahmedabad, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Pariatur ipsum repellat vitae qui enim veritatis amet quaerat illum sint aperiam vel beatae doloremque minima. Ideal for co-living looking for a budget-friendly stay near Maninagar."
PG006356,Comfort Nest,Jaipur,C-Scheme,9500,Double,No,Yes,Yes,Both,"Comfort Nest is a double-sharing PG located in C-Scheme, Jaipur, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Aut distinctio totam numquam nihil nostrum minus laboriosam nulla libero debitis earum repudiandae commodi possimus vitae. Ideal for girls looking for a premium stay near C-Scheme."
PG006357,Silver Oak PG for Students,Delhi,Saket,16200,Double,No,Yes,Yes,Veg,"Silver Oak PG for Students is a double-sharing PG located in Saket, Delhi, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Ipsa iure excepturi dicta quas recusandae impedit voluptatum aut optio. Ideal for girls looking for a premium stay near Saket."
PG006358,Silver Oak PG for Working Professionals,Delhi,Dwarka,12200,Triple,No,Yes,Yes,Both,"Silver Oak PG for Working Professionals is a triple-sharing PG located in Dwarka, Delhi, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Placeat ullam ipsam dicta exercitationem impedit asperiores deserunt totam ab ex eos aspernatur fugiat dolorem. Ideal for students looking for a premium stay near Dwarka."
PG006359,Prime Co-living Space,Ahmedabad,Bopal,13900,Single,No,Yes,Yes,Both,"Prime Co-living Space is a single-sharing PG located in Bopal, Ahmedabad, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Aliquid quia sunt iste quo reprehenderit blanditiis iure fugiat deserunt. Ideal for students looking for a premium stay near Bopal."
PG006360,Blue Bell Homestay PG,Hyderabad,Ameerpet,22300,Single,Yes,Yes,Yes,Veg,"Blue Bell Homestay PG is a single-sharing PG located in Ameerpet, Hyderabad, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Sint saepe quos repellendus repudiandae eaque dolorem necessitatibus provident iusto blanditiis facilis. Ideal for boys looking for a premium stay near Ameerpet."
PG006361,Silver Oak PG for Boys,Mumbai,Borivali,14100,Triple,Yes,Yes,No,None,"Silver Oak PG for Boys is a triple-sharing PG located in Borivali, Mumbai, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Repellat consectetur perspiciatis ea odio cumque temporibus natus soluta. Ideal for students looking for a premium stay near Borivali."
PG006362,Royal PG for Girls,Delhi,Mukherjee Nagar,17000,Double,Yes,Yes,Yes,Veg,"Royal PG for Girls is a double-sharing PG located in Mukherjee Nagar, Delhi, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Ipsam amet architecto eius laudantium blanditiis animi sit at vero. Ideal for boys looking for a premium stay near Mukherjee Nagar."
PG006363,Silver Oak Residency,Bangalore,Koramangala,15600,Triple,Yes,Yes,Yes,Veg,"Silver Oak Residency is a triple-sharing PG located in Koramangala, Bangalore, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Doloribus repudiandae dolore aspernatur nihil ipsum non officia rerum excepturi laborum voluptate vitae pariatur impedit. Ideal for working professionals looking for a premium stay near Koramangala."
PG006364,Royal Girls Hostel,Delhi,Saket,16900,Double,Yes,Yes,No,None,"Royal Girls Hostel is a double-sharing PG located in Saket, Delhi, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Placeat omnis esse magni dicta ipsa dolor maiores qui at alias voluptates. Ideal for co-living looking for a premium stay near Saket."
PG006365,Cosy Corner Boys Hostel,Delhi,Laxmi Nagar,13800,Double,No,Yes,Yes,Both,"Cosy Corner Boys Hostel is a double-sharing PG located in Laxmi Nagar, Delhi, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Laborum consequuntur dignissimos laborum illum natus soluta rerum dicta deleniti quaerat quia quod. Ideal for working professionals looking for a premium stay near Laxmi Nagar."
PG006366,Skyline Nest,Gurgaon,Sushant Lok,12100,Triple,No,Yes,Yes,Both,"Skyline Nest is a triple-sharing PG located in Sushant Lok, Gurgaon, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Rerum explicabo est saepe corrupti doloribus nisi ea repudiandae officiis impedit. Ideal for students looking for a premium stay near Sushant Lok."
PG006367,Green Leaf PG for Boys,Pune,Wakad,13300,Double,No,Yes,Yes,Non-Veg,"Green Leaf PG for Boys is a double-sharing PG located in Wakad, Pune, offering naturally ventilated rooms, high-speed WiFi, and non-veg meals included. Eius maxime labore possimus ad qui quod sunt. Ideal for girls looking for a premium stay near Wakad."
PG006368,Star View Boys Hostel,Bangalore,Koramangala,17600,Double,Yes,Yes,Yes,Veg,"Star View Boys Hostel is a double-sharing PG located in Koramangala, Bangalore, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Quas inventore velit corporis consectetur officiis expedita animi eaque. Ideal for students looking for a premium stay near Koramangala."
PG006369,Urban Co-living Space,Delhi,Karol Bagh,23700,Single,Yes,Yes,Yes,Veg,"Urban Co-living Space is a single-sharing PG located in Karol Bagh, Delhi, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Autem exercitationem tempora exercitationem dolores sequi unde excepturi fugiat. Ideal for co-living looking for a premium stay near Karol Bagh."
PG006370,Sunrise Girls Hostel,Noida,Sector 18,16800,Single,No,Yes,Yes,Non-Veg,"Sunrise Girls Hostel is a single-sharing PG located in Sector 18, Noida, offering naturally ventilated rooms, high-speed WiFi, and non-veg meals included. Quae magnam facilis veritatis consectetur aperiam consequuntur enim corporis distinctio beatae ad optio saepe dolorum. Ideal for co-living looking for a premium stay near Sector 18."
PG006371,Urban Nest,Hyderabad,Kondapur,17000,Single,No,No,No,None,"Urban Nest is a single-sharing PG located in Kondapur, Hyderabad, offering naturally ventilated rooms, no in-room WiFi, and no meal plan (self-cooking allowed). Nisi iure assumenda dicta optio culpa voluptatibus. Ideal for working professionals looking for a premium stay near Kondapur."
PG006372,Star View Homestay PG,Pune,Hinjewadi,15500,Double,Yes,Yes,No,None,"Star View Homestay PG is a double-sharing PG located in Hinjewadi, Pune, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Quod praesentium a fugit omnis ducimus non impedit excepturi temporibus fuga praesentium expedita. Ideal for students looking for a premium stay near Hinjewadi."
PG006373,Sunrise Co-living Space,Ahmedabad,Bopal,4300,Dorm,No,Yes,No,None,"Sunrise Co-living Space is a dorm-sharing PG located in Bopal, Ahmedabad, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). A veritatis quos iure iusto rerum distinctio rem quasi voluptate quae iure quam excepturi. Ideal for boys looking for a budget-friendly stay near Bopal."
PG006374,Prime Nest,Kolkata,Park Street,8000,Triple,No,No,Yes,Both,"Prime Nest is a triple-sharing PG located in Park Street, Kolkata, offering naturally ventilated rooms, no in-room WiFi, and both meals included. Distinctio sapiente eaque dolorum consequuntur illo optio blanditiis suscipit aspernatur aspernatur cumque ad aliquid. Ideal for students looking for a budget-friendly stay near Park Street."
PG006375,Harmony Nest,Bangalore,HSR Layout,13900,Triple,No,No,Yes,Both,"Harmony Nest is a triple-sharing PG located in HSR Layout, Bangalore, offering naturally ventilated rooms, no in-room WiFi, and both meals included. Adipisci necessitatibus officiis doloribus fugiat non voluptates a. Ideal for students looking for a premium stay near HSR Layout."
PG006376,Elite Homestay PG,Mumbai,Chembur,11800,Triple,No,Yes,No,None,"Elite Homestay PG is a triple-sharing PG located in Chembur, Mumbai, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Accusamus voluptate quos deserunt quasi reiciendis aut provident. Ideal for students looking for a premium stay near Chembur."
PG006377,Blue Bell Nest,Chennai,T Nagar,15100,Double,Yes,Yes,Yes,Veg,"Blue Bell Nest is a double-sharing PG located in T Nagar, Chennai, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Nam facere quia ad quisquam quos velit asperiores dolor. Ideal for working professionals looking for a premium stay near T Nagar."
PG006378,Green Leaf PG for Boys,Noida,Sector 62,12200,Double,No,Yes,Yes,Both,"Green Leaf PG for Boys is a double-sharing PG located in Sector 62, Noida, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Mollitia dolorum maxime consequatur quasi eum provident voluptatum voluptates. Ideal for working professionals looking for a premium stay near Sector 62."
PG006379,Urban PG for Boys,Jaipur,C-Scheme,17400,Single,Yes,Yes,Yes,Both,"Urban PG for Boys is a single-sharing PG located in C-Scheme, Jaipur, offering air-conditioned rooms, high-speed WiFi, and both meals included. Repellendus labore harum dicta amet vel rerum explicabo maxime minima veniam a amet accusantium optio. Ideal for students looking for a premium stay near C-Scheme."
PG006380,Elite Nest,Kolkata,New Town,6700,Triple,No,Yes,No,None,"Elite Nest is a triple-sharing PG located in New Town, Kolkata, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Dicta voluptas quae sint atque excepturi itaque facere possimus qui quas distinctio dicta laboriosam quaerat. Ideal for working professionals looking for a budget-friendly stay near New Town."
PG006381,Elite Girls Hostel,Gurgaon,Cyber Hub Area,23800,Single,Yes,Yes,No,None,"Elite Girls Hostel is a single-sharing PG located in Cyber Hub Area, Gurgaon, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Aut eum natus nisi sunt amet rerum expedita veniam expedita ipsum unde atque corrupti laborum a. Ideal for working professionals looking for a premium stay near Cyber Hub Area."
PG006382,Golden Nest Nest,Delhi,Karol Bagh,18300,Double,Yes,Yes,Yes,Veg,"Golden Nest Nest is a double-sharing PG located in Karol Bagh, Delhi, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Corporis nisi quo odit iusto vel eaque eaque. Ideal for students looking for a premium stay near Karol Bagh."
PG006383,Golden Nest Homestay PG,Mumbai,Kurla,16000,Triple,Yes,Yes,Yes,Both,"Golden Nest Homestay PG is a triple-sharing PG located in Kurla, Mumbai, offering air-conditioned rooms, high-speed WiFi, and both meals included. Error laudantium laudantium nesciunt repellat consequuntur error molestiae temporibus cumque quasi doloremque. Ideal for co-living looking for a premium stay near Kurla."
PG006384,Cosy Corner Residency,Bangalore,BTM Layout,22600,Single,No,Yes,Yes,Both,"Cosy Corner Residency is a single-sharing PG located in BTM Layout, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Expedita minima ad libero atque consectetur quasi sit a. Ideal for co-living looking for a premium stay near BTM Layout."
PG006385,Comfort PG for Students,Delhi,Karol Bagh,21200,Single,No,Yes,Yes,Veg,"Comfort PG for Students is a single-sharing PG located in Karol Bagh, Delhi, offering naturally ventilated rooms, high-speed WiFi, and veg meals included. Quod totam officia ut autem quis assumenda ratione dolor iure temporibus nisi. Ideal for girls looking for a premium stay near Karol Bagh."
PG006386,Urban Girls Hostel,Gurgaon,DLF Phase 3,19600,Double,Yes,Yes,Yes,Non-Veg,"Urban Girls Hostel is a double-sharing PG located in DLF Phase 3, Gurgaon, offering air-conditioned rooms, high-speed WiFi, and non-veg meals included. Reprehenderit at porro minima culpa quis numquam deserunt qui quia iure iste quis commodi. Ideal for girls looking for a premium stay near DLF Phase 3."
PG006387,Maple PG for Students,Gurgaon,Sector 14,13600,Double,No,Yes,No,None,"Maple PG for Students is a double-sharing PG located in Sector 14, Gurgaon, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Saepe accusamus doloribus ea quae minus qui reprehenderit doloremque. Ideal for students looking for a premium stay near Sector 14."
PG006388,Maple PG for Students,Chennai,Adyar,9200,Double,No,Yes,No,None,"Maple PG for Students is a double-sharing PG located in Adyar, Chennai, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Quia pariatur aspernatur explicabo omnis cupiditate quia culpa occaecati praesentium ut cumque. Ideal for boys looking for a premium stay near Adyar."
PG006389,Urban Homestay PG,Bangalore,Marathahalli,14700,Double,Yes,Yes,No,None,"Urban Homestay PG is a double-sharing PG located in Marathahalli, Bangalore, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Natus cupiditate enim in dolorem ullam cupiditate asperiores nulla ducimus alias sit. Ideal for girls looking for a premium stay near Marathahalli."
